skill,count,pct_of_postings
SQL,12865,67.6
Excel,9018,47.4
Python,7225,37.9
Tableau,7079,37.2
Power BI,6694,35.2
R,4563,24.0
SAS,2232,11.7
PowerPoint,1887,9.9
Word,1870,9.8
Snowflake,1354,7.1
Azure,1200,6.3
Looker,1138,6.0
AWS,1116,5.9
Spark,1016,5.3
Go,916,4.8
SAP,906,4.8
SPSS,798,4.2
Scala,769,4.0
VBA,693,3.6
Alteryx,693,3.6
Jira,659,3.5
C,656,3.4
Outlook,612,3.2
Sharepoint,581,3.1
JavaScript,528,2.8
Java,507,2.7
NoSQL,497,2.6
BigQuery,446,2.3
Hadoop,441,2.3
SSRS,440,2.3
Qlik,428,2.2
SSIS,402,2.1
Redshift,401,2.1
GCP,392,2.1
Microstrategy,350,1.8
Linux/Unix,340,1.8
DAX,337,1.8
Visio,328,1.7
Pandas,310,1.6
Cognos,281,1.5
Git,266,1.4
Matplotlib,232,1.2
Matlab,224,1.2
C++,199,1.0
Html,194,1.0
NumPy,187,1.0
Github,185,1.0
Crystal,181,1.0
Airflow,172,0.9
Pyspark,165,0.9
Jupyter,123,0.6
MongoDB,116,0.6
TensorFlow,108,0.6
Splunk,103,0.5
Scikit-Learn,101,0.5
Docker,101,0.5
Powershell,92,0.5
Shell,91,0.5
Css,89,0.5
Gdpr,69,0.4
Plotly,68,0.4
Swift,68,0.4
Terminal,63,0.3
Assembly,63,0.3
Aurora,58,0.3
Perl,58,0.3
Seaborn,45,0.2
Atlassian,45,0.2
Php,42,0.2
Selenium,42,0.2
Bash,41,0.2
Gitlab,40,0.2
Ggplot2,39,0.2
PyTorch,35,0.2
Ruby,33,0.2
Bitbucket,28,0.1
Jquery,25,0.1
Julia,23,0.1
C/C++,22,0.1
Node.js,18,0.1
Cobol,18,0.1
Typescript,17,0.1
Rshiny,17,0.1
Asp.Net,15,0.1
Dplyr,12,0.1
Graphql,12,0.1
Keras,12,0.1
Vb.Net,12,0.1
Nuix,11,0.1
Vue,11,0.1
Redis,10,0.1
Apl,7,0.0
Groovy,7,0.0
Fortran,7,0.0
Twilio,6,0.0
Rust,6,0.0
NLTK,6,0.0
Datarobot,4,0.0
Erlang,3,0.0
Dart,3,0.0
Clojure,3,0.0
Mlr,2,0.0
Solidity,2,0.0
Theano,2,0.0
Haskell,1,0.0
Vue.Js,1,0.0
Elixir,1,0.0
