skill_a,skill_b,count
Python,SQL,6031
SQL,Tableau,5784
Excel,SQL,5447
Power BI,SQL,5094
Python,R,3912
Power BI,Tableau,3896
R,SQL,3834
Python,Tableau,3728
Excel,Power BI,3415
Power BI,Python,3408
Excel,Tableau,3227
R,Tableau,2711
Excel,Python,2675
Power BI,R,2348
Excel,R,1895
SAS,SQL,1781
Excel,PowerPoint,1777
Excel,Word,1731
R,SAS,1315
SQL,Snowflake,1248
Python,SAS,1247
Excel,SAS,1240
SAS,Tableau,1146
PowerPoint,Word,1057
PowerPoint,SQL,1054
Azure,SQL,1021
Looker,SQL,1014
SQL,Word,965
SQL,Spark,959
AWS,SQL,943
Power BI,SAS,932
Python,Spark,926
Python,Scala,762
Spark,Tableau,762
R,Spark,761
Looker,Tableau,748
SQL,Scala,741
Power BI,Spark,733
Python,Snowflake,724
Azure,Power BI,722
PowerPoint,Tableau,708
R,Scala,707
AWS,Python,704
Power BI,PowerPoint,686
Scala,Spark,684
Scala,Tableau,674
Snowflake,Tableau,663
Power BI,Scala,655
Looker,Python,654
Azure,Python,623
SAS,SPSS,611
SPSS,SQL,597
Power BI,Word,579
Alteryx,SQL,578
Excel,SPSS,574
Excel,Outlook,570
SQL,VBA,557
Go,SQL,547
Tableau,Word,538
Power BI,Snowflake,537
Excel,VBA,521
Jira,SQL,515
PowerPoint,Python,514
R,SPSS,513
Outlook,Word,508
AWS,Tableau,504
SAP,SQL,499
Alteryx,Tableau,495
Looker,Power BI,490
NoSQL,SQL,480
C,SQL,476
Excel,SAP,463
Azure,Tableau,458
Python,Word,427
Python,SPSS,425
SQL,SSRS,424
Excel,Snowflake,417
NoSQL,Python,416
JavaScript,SQL,415
Looker,R,413
PowerPoint,R,411
Java,Python,405
BigQuery,SQL,404
Excel,Sharepoint,404
Hadoop,SQL,401
Power BI,VBA,398
SQL,SSIS,396
Azure,Excel,387
R,Snowflake,383
AWS,Power BI,372
Java,SQL,366
Redshift,SQL,363
Python,VBA,357
SPSS,Tableau,352
Tableau,VBA,352
Power BI,SAP,352
Excel,Go,351
Outlook,PowerPoint,351
Alteryx,Power BI,350
R,Word,350
AWS,Azure,343
AWS,R,335
NoSQL,R,333
Qlik,SQL,333
Azure,R,333
Excel,Looker,332
Microstrategy,SQL,330
GCP,SQL,330
NoSQL,Power BI,328
NoSQL,Tableau,327
DAX,Power BI,326
Go,Tableau,325
Go,Python,322
Power BI,SPSS,320
SQL,Sharepoint,317
Alteryx,Python,316
Jira,Tableau,303
Hadoop,Python,302
Pandas,Python,299
AWS,Excel,299
Power BI,Qlik,298
Alteryx,Excel,297
AWS,Snowflake,296
Microstrategy,Tableau,295
C,Python,291
Qlik,Tableau,290
JavaScript,Python,289
Outlook,SQL,289
PowerPoint,SAS,289
DAX,SQL,289
SAS,Word,287
Power BI,SSRS,286
GCP,Python,283
Power BI,Sharepoint,283
Excel,JavaScript,280
Excel,Visio,278
R,VBA,278
Excel,Spark,274
BigQuery,Tableau,259
Pandas,SQL,256
GCP,Tableau,255
BigQuery,Python,255
NoSQL,SAS,252
SAP,Tableau,252
NoSQL,Spark,243
Python,Redshift,241
Go,Power BI,239
SAS,VBA,238
SQL,Visio,238
Redshift,Tableau,237
C,Excel,237
Hadoop,Tableau,234
C,Power BI,231
SAS,Spark,230
Linux/Unix,Python,229
Excel,NoSQL,228
Matplotlib,Python,226
Excel,SSRS,224
Power BI,SSIS,221
Excel,Jira,218
Hadoop,R,217
Excel,Scala,217
Git,SQL,216
BigQuery,Power BI,215
GCP,Power BI,215
Alteryx,R,214
Cognos,SQL,214
Matplotlib,SQL,212
SAS,Scala,211
Outlook,Power BI,211
Jira,Python,209
Azure,Snowflake,209
NoSQL,Scala,209
Java,Tableau,208
GCP,R,208
AWS,Redshift,207
SAS,Snowflake,205
Looker,Snowflake,204
C,Tableau,200
Python,Qlik,198
Git,Python,197
Outlook,Tableau,197
Excel,SSIS,196
Linux/Unix,SQL,195
Matlab,Python,192
Excel,Java,191
C,R,190
Java,R,190
Python,SAP,187
JavaScript,Power BI,187
Matplotlib,Tableau,185
SSRS,Tableau,185
C++,Python,185
Excel,Microstrategy,182
Excel,Qlik,181
NumPy,Python,181
SSIS,SSRS,180
DAX,Excel,179
NumPy,Pandas,179
Go,R,179
Visio,Word,178
BigQuery,R,175
PowerPoint,Sharepoint,174
Sharepoint,Tableau,172
Cognos,Excel,171
Matplotlib,Power BI,170
JavaScript,Tableau,169
Matplotlib,R,168
Matlab,R,168
BigQuery,Looker,168
Cognos,Tableau,166
PowerPoint,Visio,164
NumPy,SQL,163
Sharepoint,Word,162
Jira,Power BI,162
Excel,Matplotlib,161
JavaScript,SAS,160
GCP,Spark,160
Java,Power BI,160
Airflow,SQL,159
DAX,Python,156
SSIS,Tableau,155
Hadoop,Power BI,152
Excel,Hadoop,151
Github,SQL,150
Crystal,SQL,150
Pandas,Tableau,149
Hadoop,Spark,148
Pyspark,SQL,147
Looker,Spark,146
Redshift,Snowflake,146
AWS,Spark,143
NoSQL,VBA,143
Matlab,SQL,142
Outlook,Python,141
Qlik,R,139
JavaScript,R,139
Cognos,Power BI,139
Pyspark,Python,139
PowerPoint,SAP,137
SAP,Word,137
Html,SQL,135
R,Redshift,133
AWS,Hadoop,131
AWS,Looker,130
Power BI,Redshift,130
Microstrategy,Power BI,130
GCP,Scala,130
Azure,SAS,129
Microstrategy,Python,129
Matplotlib,SAS,128
Matplotlib,NoSQL,128
Power BI,Visio,128
Github,Python,126
C++,Java,123
BigQuery,Excel,122
Azure,Spark,122
Git,Tableau,122
SPSS,Snowflake,121
Airflow,Python,121
Looker,Scala,120
Matplotlib,Spark,118
Alteryx,PowerPoint,117
Azure,SSIS,115
DAX,Tableau,114
Python,SSRS,114
Outlook,R,113
R,SAP,112
JavaScript,SPSS,112
Python,SSIS,111
Matplotlib,Scala,110
Html,Python,110
Excel,GCP,109
Java,JavaScript,108
Hadoop,SAS,107
Microstrategy,R,107
MongoDB,SQL,107
Pandas,R,105
NumPy,Tableau,105
Jupyter,Python,104
DAX,R,104
Python,Sharepoint,103
C++,SQL,103
SPSS,Word,102
Crystal,Excel,102
GCP,Looker,102
PowerPoint,SPSS,102
Java,SAS,101
Looker,Redshift,100
Tableau,Visio,98
Matlab,Tableau,98
AWS,GCP,98
Git,R,97
Python,Scikit-Learn,97
Jupyter,SQL,97
Jira,Snowflake,97
Jira,R,97
C,SAS,96
Python,TensorFlow,96
Spark,VBA,96
VBA,Word,95
Alteryx,SAS,95
Azure,Word,94
SAP,Snowflake,94
Scala,VBA,94
Java,Scala,93
Azure,C,91
Airflow,Tableau,91
Azure,SSRS,91
BigQuery,Snowflake,91
BigQuery,Spark,91
C++,Tableau,90
Matlab,SAS,89
Hadoop,NoSQL,89
Azure,GCP,89
C,Java,89
Excel,Redshift,88
Excel,Pandas,87
PowerPoint,VBA,87
Outlook,Sharepoint,87
Outlook,SAS,86
SQL,Scikit-Learn,86
Hadoop,Snowflake,85
Alteryx,SAP,85
Jira,Microstrategy,85
Github,Tableau,84
Pandas,Power BI,84
BigQuery,Scala,83
C++,JavaScript,83
Linux/Unix,R,82
Docker,Python,82
Java,Spark,82
BigQuery,Redshift,80
C,Word,80
Powershell,SQL,80
Looker,SAS,79
NumPy,R,79
C,PowerPoint,79
Pandas,Scikit-Learn,78
PowerPoint,Qlik,78
PowerPoint,Snowflake,78
Matlab,Power BI,77
C++,R,76
Microstrategy,SAS,76
AWS,Java,76
Git,Power BI,75
Excel,Html,75
SPSS,VBA,75
Cognos,Python,75
Azure,PowerPoint,75
Go,Looker,74
R,SSRS,74
Cognos,R,73
Azure,Java,72
Go,PowerPoint,72
SQL,TensorFlow,72
MongoDB,Python,72
Python,Shell,71
Hadoop,Microstrategy,71
Css,SQL,71
Snowflake,Spark,71
AWS,SAS,70
Go,Word,70
C++,Power BI,70
AWS,BigQuery,70
SQL,Shell,70
Pyspark,Tableau,70
Python,Visio,69
NumPy,Scikit-Learn,69
Azure,Looker,68
Go,Snowflake,68
Power BI,TensorFlow,67
Qlik,Word,66
Tableau,TensorFlow,66
Azure,DAX,66
R,Sharepoint,66
Cognos,SAS,65
Alteryx,SSIS,65
Azure,Hadoop,65
Sharepoint,Visio,64
Crystal,Power BI,64
AWS,NoSQL,64
C,JavaScript,64
Snowflake,Word,64
Microstrategy,PowerPoint,64
Matplotlib,Pandas,64
Azure,Jira,64
Html,JavaScript,64
Alteryx,Snowflake,63
R,TensorFlow,63
Go,SAS,63
NoSQL,SPSS,63
AWS,Scala,63
Pyspark,R,62
Excel,Git,62
BigQuery,SAS,62
BigQuery,GCP,62
Linux/Unix,Tableau,61
C,SSRS,61
Github,Power BI,61
Alteryx,Word,61
Plotly,Python,61
Azure,Git,61
SQL,Splunk,61
R,SSIS,61
Plotly,SQL,60
Html,Power BI,59
Css,JavaScript,59
Crystal,Tableau,59
Cognos,Word,59
Hadoop,SPSS,59
Excel,Swift,59
Redshift,Spark,59
Alteryx,VBA,58
Jira,PowerPoint,58
R,Scikit-Learn,58
Excel,Linux/Unix,58
SQL,Swift,58
Azure,Scala,58
AWS,Git,57
Scikit-Learn,Tableau,57
Github,R,57
Docker,Java,56
Powershell,Python,56
C++,SAS,56
Microstrategy,SPSS,56
Airflow,Snowflake,56
Python,Splunk,56
AWS,SAP,56
AWS,Airflow,56
Excel,Github,56
Azure,BigQuery,55
AWS,Jira,55
Linux/Unix,Shell,55
Qlik,SAP,55
Excel,Matlab,55
Airflow,Looker,55
Azure,NoSQL,55
Spark,TensorFlow,54
GCP,SAS,54
Azure,Sharepoint,54
Java,Linux/Unix,54
Hadoop,VBA,53
PowerPoint,SSRS,53
Microstrategy,NoSQL,53
Alteryx,Azure,53
DAX,PowerPoint,53
Java,NoSQL,53
Jupyter,Tableau,52
AWS,Word,52
GCP,NoSQL,52
SAS,SSRS,52
AWS,Go,52
NumPy,Power BI,52
C++,Excel,52
Swift,Tableau,51
Microstrategy,VBA,51
AWS,Microstrategy,51
Go,SAP,50
Jira,Sharepoint,50
C,C++,50
Excel,NumPy,50
Css,Html,50
Jira,Word,49
SAS,TensorFlow,49
Hadoop,Scala,49
Docker,SQL,49
Html,R,49
SAP,VBA,49
Looker,NoSQL,49
PowerPoint,Swift,48
Looker,PowerPoint,48
C,SAP,48
Matlab,NoSQL,48
Docker,JavaScript,47
Matlab,Scala,47
BigQuery,NoSQL,47
Azure,Go,47
Microstrategy,Swift,46
Css,Python,46
PowerPoint,SSIS,46
Git,Snowflake,46
Html,Tableau,46
AWS,PowerPoint,46
Perl,Python,46
Gdpr,SQL,45
AWS,C,45
C,Snowflake,45
Power BI,Pyspark,45
DAX,SSRS,45
Splunk,Tableau,45
C,Go,45
Alteryx,Spark,45
Alteryx,Hadoop,45
Outlook,Visio,45
BigQuery,JavaScript,45
Qlik,SAS,45
Sharepoint,VBA,45
Azure,JavaScript,44
NoSQL,TensorFlow,44
Plotly,Tableau,44
SAP,Sharepoint,44
Azure,SAP,44
MongoDB,NoSQL,44
Matlab,VBA,44
SSRS,Word,44
Java,PowerPoint,44
AWS,Pandas,44
Scala,TensorFlow,43
MongoDB,Tableau,43
Hadoop,PowerPoint,43
Alteryx,DAX,43
Matplotlib,NumPy,43
Pandas,Snowflake,43
Airflow,R,43
Microstrategy,Snowflake,43
Azure,Redshift,43
AWS,Qlik,43
Github,Snowflake,43
Power BI,Powershell,43
C++,Docker,42
Airflow,Spark,42
Perl,SQL,42
Hadoop,Java,42
BigQuery,VBA,42
JavaScript,Word,42
C,SSIS,42
Outlook,SAP,42
Outlook,SPSS,41
AWS,JavaScript,41
Go,Java,41
DAX,SSIS,41
Pandas,Pyspark,41
SSIS,Word,41
Looker,Qlik,41
C,Sharepoint,40
Python,Seaborn,40
Html,Java,40
Azure,Linux/Unix,40
Excel,Powershell,40
Github,Jira,40
Css,Power BI,39
Hadoop,Pyspark,39
C,Scala,39
C,Looker,39
Java,Word,39
Html,Linux/Unix,39
Crystal,SSRS,39
Bash,Python,38
SSRS,Sharepoint,38
NumPy,Pyspark,38
Excel,Splunk,38
Perl,R,38
Jupyter,Power BI,38
Aurora,SQL,38
Jupyter,R,38
SAP,SAS,38
Redshift,SAS,38
Excel,MongoDB,38
Matlab,Spark,38
Powershell,Tableau,37
Ggplot2,Tableau,37
Pandas,PowerPoint,37
Azure,Powershell,37
Excel,Jupyter,37
Hadoop,SAP,37
AWS,MongoDB,37
Azure,Outlook,37
Looker,Matplotlib,37
BigQuery,TensorFlow,37
AWS,Linux/Unix,37
Git,Jira,37
MongoDB,R,36
AWS,Pyspark,36
AWS,Github,36
Crystal,Word,36
SAS,SSIS,36
Ggplot2,R,36
Docker,Tableau,36
Go,JavaScript,36
Ggplot2,SQL,36
Alteryx,Go,36
Azure,Pyspark,35
Git,Spark,35
SAS,Visio,35
C,VBA,35
Css,Excel,35
Java,Snowflake,35
Scala,Snowflake,35
Matlab,TensorFlow,35
Plotly,Power BI,35
BigQuery,Matlab,34
Azure,Visio,34
Github,JavaScript,34
Jira,Spark,34
MongoDB,Snowflake,34
Looker,Microstrategy,34
Crystal,SAS,34
Qlik,Snowflake,34
Php,SQL,34
Matplotlib,Seaborn,34
Airflow,Power BI,34
AWS,SSIS,34
MongoDB,Power BI,34
Pyspark,Spark,34
Atlassian,SQL,34
SSIS,Snowflake,34
Jira,Looker,34
SQL,Selenium,33
TensorFlow,VBA,33
JavaScript,VBA,33
Python,Selenium,33
C,Spark,33
Docker,Power BI,33
Linux/Unix,SAS,33
Outlook,Snowflake,33
Bash,SQL,33
Jupyter,Pandas,33
Qlik,VBA,33
AWS,Alteryx,33
Ggplot2,Python,33
Git,Pandas,32
Gitlab,SQL,32
Pandas,Spark,32
Atlassian,Jira,32
R,Visio,32
DAX,SAS,32
SQL,Seaborn,32
Html,PowerPoint,32
Hadoop,Scikit-Learn,32
Hadoop,Pandas,32
Assembly,Excel,31
Java,Jira,31
Jira,SAS,31
Go,Spark,31
Alteryx,Pandas,31
AWS,Docker,31
SSIS,VBA,31
NoSQL,Snowflake,31
Css,R,31
Pyspark,Scikit-Learn,31
NumPy,PowerPoint,31
Hadoop,NumPy,31
PowerPoint,Scala,31
Gdpr,Power BI,31
Redshift,Scala,31
GCP,Matplotlib,30
Aurora,Python,30
Gdpr,Tableau,30
Spark,Word,30
JavaScript,SSIS,30
Sharepoint,Snowflake,30
NoSQL,Redshift,30
R,Shell,30
Jira,Redshift,30
Cognos,PowerPoint,30
Perl,Tableau,29
JavaScript,SSRS,29
JavaScript,Jira,29
Jira,Visio,29
Go,Jira,29
Alteryx,Looker,29
Shell,Tableau,29
Python,Ruby,29
Java,VBA,29
Alteryx,Scala,29
Airflow,BigQuery,29
JavaScript,Sharepoint,29
C++,Linux/Unix,29
SQL,Terminal,29
SSIS,Sharepoint,28
Php,Python,28
Looker,Pandas,28
JavaScript,Looker,28
Alteryx,Jira,28
Ruby,SQL,28
C,Jira,28
Plotly,R,28
DAX,Snowflake,28
PowerPoint,Pyspark,28
Html,Word,27
C,DAX,27
Excel,Gdpr,27
C,Linux/Unix,27
PyTorch,Python,27
Azure,Qlik,27
Azure,Github,27
Matlab,SPSS,27
Ggplot2,Pandas,27
Github,SAS,27
JavaScript,PowerPoint,27
Airflow,Excel,27
JavaScript,Snowflake,27
Azure,Pandas,27
SAS,Sharepoint,27
Css,Tableau,27
Git,Java,27
Looker,Word,27
DAX,Sharepoint,27
Looker,SAP,27
JavaScript,Spark,27
PyTorch,TensorFlow,26
Hadoop,Looker,26
Outlook,VBA,26
Assembly,SQL,26
Java,MongoDB,26
Go,Pandas,26
Linux/Unix,Power BI,26
GCP,Snowflake,25
AWS,NumPy,25
Ggplot2,NumPy,25
Power BI,Scikit-Learn,25
PowerPoint,Scikit-Learn,25
Crystal,Python,25
Alteryx,Qlik,25
Go,Hadoop,25
SSRS,Snowflake,25
